id_item_dieta,dieta,alimento,preco_medio,peso,alimento_normalizado,quantidade_g,fator_100g,tipo_conversao_quantidade,observacao_quantidade,taco_numero_alimento,taco_descricao,taco_categoria,fonte_nutricional,status_match,observacao,umidade_g_100g,energia_kcal_100g,energia_kj_100g,proteina_g_100g,lipideos_g_100g,colesterol_mg_100g,carboidrato_g_100g,fibra_alimentar_g_100g,cinzas_g_100g,calcio_mg_100g,magnesio_mg_100g,manganes_mg_100g,fosforo_mg_100g,ferro_mg_100g,sodio_mg_100g,potassio_mg_100g,cobre_mg_100g,zinco_mg_100g,retinol_mcg_100g,re_mcg_100g,rae_mcg_100g,tiamina_mg_100g,riboflavina_mg_100g,piridoxina_mg_100g,niacina_mg_100g,vitamina_c_mg_100g,umidade_g_total,energia_kcal_total,energia_kj_total,proteina_g_total,lipideos_g_total,colesterol_mg_total,carboidrato_g_total,fibra_alimentar_g_total,cinzas_g_total,calcio_mg_total,magnesio_mg_total,manganes_mg_total,fosforo_mg_total,ferro_mg_total,sodio_mg_total,potassio_mg_total,cobre_mg_total,zinco_mg_total,retinol_mcg_total,re_mcg_total,rae_mcg_total,tiamina_mg_total,riboflavina_mg_total,piridoxina_mg_total,niacina_mg_total,vitamina_c_mg_total
25,vegana,pasta de amendoim,22.0,500 g,pasta de amendoim,500.0,5.0,direto_g,Peso informado diretamente em gramas.,557.0,"Amendoim, grão, cru",Leguminosas e derivados,TACO,taco_aproximado,A TACO nao tem pasta; usando amendoim grao cru como aproximacao.,6.4,544.0,2276.0,27.2,43.9,,20.3,8.0,2.2,0.0,171.0,1.96,407.0,2.5,0.0,580.0,0.78,3.2,,,,0.1,0.03,0.76,10.18,0.0,32.0,2720.0,11380.0,136.0,219.5,0.0,101.5,40.0,11.0,0.0,855.0,9.8,2035.0,12.5,0.0,2900.0,3.9000000000000004,16.0,0.0,0.0,0.0,0.5,0.15,3.8,50.9,0.0
26,vegana,sementes de chia,15.0,250 g,sementes de chia,250.0,2.5,direto_g,Peso informado diretamente em gramas.,,,,,sem_match_taco,Nao encontrei chia na TACO.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,vegana,linhaça,10.0,250 g,linhaca,250.0,2.5,direto_g,Peso informado diretamente em gramas.,594.0,"Linhaça, semente",Nozes e sementes,TACO,taco_exato,,6.7,495.0,2072.0,14.1,32.3,,43.3,33.5,3.7,211.0,347.0,2.81,615.0,4.7,9.0,869.0,1.09,4.4,,,,0.12,0.0,0.13,0.0,0.0,16.75,1237.5,5180.0,35.25,80.75,0.0,108.25,83.75,9.25,527.5,867.5,7.025,1537.5,11.75,22.5,2172.5,2.725,11.0,0.0,0.0,0.0,0.3,0.0,0.325,0.0,0.0
28,vegana,arroz integral,10.0,1 kg,arroz integral,1000.0,10.0,direto_kg,Peso convertido de kg para gramas.,2.0,"Arroz, integral, cru",Cereais e derivados,TACO,taco_exato,Usando arroz integral cru.,12.2,360.0,1505.0,7.3,1.9,,77.5,4.8,1.2,8.0,110.0,2.99,251.0,0.9,2.0,173.0,0.07,1.4,,,,0.26,0.0,0.18,4.18,,122.0,3600.0,15050.0,73.0,19.0,0.0,775.0,48.0,12.0,80.0,1100.0,29.900000000000002,2510.0,9.0,20.0,1730.0,0.7000000000000001,14.0,0.0,0.0,0.0,2.6,0.0,1.7999999999999998,41.8,0.0
29,vegana,feijão preto,10.0,1 kg,feijao preto,1000.0,10.0,direto_kg,Peso convertido de kg para gramas.,568.0,"Feijão, preto, cru",Leguminosas e derivados,TACO,taco_exato,Usando feijao preto cru.,14.9,324.0,1354.0,21.3,1.2,,58.8,21.8,3.8,111.0,188.0,1.32,471.0,6.5,0.0,1416.0,0.83,2.9,,,,0.12,0.0,0.59,4.6,,149.0,3240.0,13540.0,213.0,12.0,0.0,588.0,218.0,38.0,1110.0,1880.0,13.200000000000001,4710.0,65.0,0.0,14160.0,8.299999999999999,29.0,0.0,0.0,0.0,1.2,0.0,5.8999999999999995,46.0,0.0
30,vegana,grão-de-bico,12.0,500 g,grao de bico,500.0,5.0,direto_g,Peso informado diretamente em gramas.,575.0,"Grão-de-bico, cru",Leguminosas e derivados,TACO,taco_exato,Usando grao-de-bico cru.,12.3,355.0,1484.0,21.2,5.4,,57.9,12.4,3.2,114.0,146.0,3.16,342.0,5.4,5.0,1116.0,0.67,3.2,,,,0.52,0.0,0.75,0.0,0.0,61.5,1775.0,7420.0,106.0,27.0,0.0,289.5,62.0,16.0,570.0,730.0,15.8,1710.0,27.0,25.0,5580.0,3.35,16.0,0.0,0.0,0.0,2.6,0.0,3.75,0.0,0.0
31,vegana,quinoa,25.0,500 g,quinoa,500.0,5.0,direto_g,Peso informado diretamente em gramas.,,,,,sem_match_taco,Nao encontrei quinoa na TACO.,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,vegana,tofu,12.0,300 g,tofu,300.0,3.0,direto_g,Peso informado diretamente em gramas.,584.0,"Soja, queijo (tofu)",Leguminosas e derivados,TACO,taco_exato,"A TACO chama de soja, queijo (tofu).",86.6,64.0,270.0,6.6,4.0,,2.1,0.8,0.7,81.0,38.0,0.33,130.0,1.4,1.0,182.0,0.18,0.9,,,,0.04,0.0,0.03,0.0,0.0,259.79999999999995,192.0,810.0,19.799999999999997,12.0,0.0,6.300000000000001,2.4000000000000004,2.0999999999999996,243.0,114.0,0.99,390.0,4.199999999999999,3.0,546.0,0.54,2.7,0.0,0.0,0.0,0.12,0.0,0.09,0.0,0.0
33,vegana,shoyu,8.0,500 ml,shoyu,500.0,5.0,volume_ml_estimado,Volume convertido usando densidade 1 ml = 1 g.,518.0,Shoyu,Miscelâneas,TACO,taco_exato,,70.6,61.0,255.0,3.3,0.3,,11.6,,14.1,15.0,24.0,0.07,47.0,0.5,5024.0,165.0,0.0,0.2,,,,0.83,0.06,0.15,2.1,0.0,353.0,305.0,1275.0,16.5,1.5,0.0,58.0,0.0,70.5,75.0,120.0,0.35000000000000003,235.0,2.5,25120.0,825.0,0.0,1.0,0.0,0.0,0.0,4.1499999999999995,0.3,0.75,10.5,0.0
34,vegana,leite de coco,9.0,200 ml,leite de coco,200.0,2.0,volume_ml_estimado,Volume convertido usando densidade 1 ml = 1 g.,523.0,"Leite, de coco",Outros alimentos industrializados,TACO,taco_exato,,78.0,166.0,695.0,1.0,18.4,,2.2,0.7,0.4,6.0,17.0,0.24,26.0,0.5,44.0,144.0,0.16,0.3,,,,0.0,0.0,0.0,0.0,0.0,156.0,332.0,1390.0,2.0,36.8,0.0,4.4,1.4,0.8,12.0,34.0,0.48,52.0,1.0,88.0,288.0,0.32,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
